id_movimentacao;data;hora;sku_produto;nome_produto;tipo_movimentacao;motivo;quantidade;preco_unitario;valor_total;obra_destino;nota_fiscal;usuario_responsavel;lote;observacao
MOV-20260152;2026-01-03;13:32;MAT-POR-6060;Porcelanato 60x60;saida;Venda;170;63.41;10779.7;Condomínio Verde Mar;;Ana Pereira;;
MOV-20260153;2026-02-01;13:00;MAT-MAS-025;Massa Corrida PVA 25kg;entrada;Bonificação fornecedor;60;188.84;11330.4;;NF-2026-209583;Ana Pereira;LT-9567;Verificar prazo de validade
MOV-20260154;2026-03-01;12:35;EPI-OCU-INC;Óculos de Proteção Incolor;saida;Uso em obra;167;119.97;20034.99;Edifício Central Business;;João Silva;;
MOV-20260155;2026-03-15;13:02;EPI-BOT-SEC;Bota de Segurança;entrada;Transferência entre depósitos;107;191.17;20455.19;;NF-2026-417391;Marcos Andrade;LT-9839;Material para reposição urgente
MOV-20260156;2026-01-17;09:07;MAT-CAL-020;Cal Hidratada 20kg;saida;Baixa por avaria;145;198.43;28772.35;Depósito Central;;João Silva;;Verificar prazo de validade
MOV-20260157;2026-03-09;09:34;MAT-TIJ-929;Tijolo Cerâmico 9x19x29;saida;Consumo interno;190;210.4;39976.0;Depósito Central;;João Silva;;Material para reposição urgente
MOV-20260158;2026-02-24;07:57;FER-DSC-045;Disco de Corte 4.1/2;devolucao;Devolução a fornecedor;43;109.65;4714.95;;NF-2026-258775;Ana Pereira;;
MOV-20260159;2026-03-12;10:28;PNT-SEL-18;Selador Acrílico 18L;saida;Transferência entre obras;138;263.97;36427.86;Depósito Central;;Lucia Santos;;Verificar prazo de validade
MOV-20260160;2026-03-15;13:17;HID-JOE-25;Joelho 90 PVC 25mm;saida;Uso em obra;16;243.19;3891.04;Reforma Comercial SP;;Fernanda Lima;;
MOV-20260161;2026-01-14;15:03;EPI-CAP-BR;Capacete Classe B Branco;saida;Venda;171;148.22;25345.62;Depósito Central;;Fernanda Lima;;Conferir com almoxarife
MOV-20260162;2026-01-10;07:45;PNT-SEL-18;Selador Acrílico 18L;saida;Venda;137;98.62;13510.94;Obra Industrial Jundiaí;;João Silva;;
MOV-20260163;2026-03-13;16:19;EPI-LUV-M;Luva Nitrílica M;saida;Venda;186;17.41;3238.26;Obra Residencial Alphaville;;João Silva;;
MOV-20260164;2026-02-16;11:01;MAT-CIM-050;Cimento CP II 50kg;saida;Uso em obra;34;288.37;9804.58;Obra Industrial Jundiaí;;Roberto Costa;;
MOV-20260165;2026-01-08;11:22;ELE-CON-34;Conduíte Corrugado 3/4;saida;Baixa por avaria;51;250.2;12760.2;Condomínio Verde Mar;;Ana Pereira;;
MOV-20260166;2026-02-28;16:22;EPI-OCU-INC;Óculos de Proteção Incolor;transferencia;Entre depósitos;145;268.1;38874.5;Obra Residencial Alphaville;;Fernanda Lima;;
MOV-20260167;2026-02-19;12:39;HID-TUB-25;Tubo PVC 25mm;saida;Consumo interno;5;190.95;954.75;Depósito Central;;Fernanda Lima;;Verificar prazo de validade
MOV-20260168;2026-02-05;08:28;MAT-CAL-020;Cal Hidratada 20kg;entrada;Bonificação fornecedor;123;125.81;15474.63;;NF-2026-605402;Lucia Santos;LT-7852;
MOV-20260169;2026-03-21;13:14;EPI-MAS-PF2;Máscara PFF2;saida;Uso em obra;113;7.41;837.33;Obra Industrial Jundiaí;;Ana Pereira;;Material para reposição urgente
MOV-20260170;2026-01-20;14:24;ELE-CON-34;Conduíte Corrugado 3/4;devolucao;Material com defeito;132;43.56;5749.92;;NF-2026-350731;Roberto Costa;;Material para reposição urgente
MOV-20260171;2026-02-10;07:54;HID-JOE-25;Joelho 90 PVC 25mm;entrada;Retorno de devolução;51;267.82;13658.82;;NF-2026-821404;Fernanda Lima;LT-4586;
MOV-20260172;2026-02-07;07:37;MAT-GES-020;Gesso em Pó 20kg;transferencia;Entre depósitos;83;225.06;18679.98;Obra Industrial Jundiaí;;Roberto Costa;;Conferir com almoxarife
MOV-20260173;2026-01-08;16:40;EPI-LUV-M;Luva Nitrílica M;saida;Uso em obra;186;98.09;18244.74;Depósito Central;;Marcos Andrade;;
MOV-20260174;2026-03-23;10:06;FER-FUR-750;Furadeira de Impacto 750W;devolucao;Material com defeito;46;71.11;3271.06;;NF-2026-281390;Roberto Costa;;
MOV-20260175;2026-02-26;14:09;MAT-ACO-010;Aço CA-50 10mm;saida;Uso em obra;17;160.84;2734.28;Obra Residencial Alphaville;;Lucia Santos;;
MOV-20260176;2026-02-16;12:15;EPI-CAP-BR;Capacete Classe B Branco;saida;Venda;111;15.39;1708.29;Reforma Comercial SP;;Fernanda Lima;;
MOV-20260177;2026-02-05;09:21;EPI-OCU-INC;Óculos de Proteção Incolor;transferencia;Para obra Campinas;79;74.64;5896.56;Edifício Central Business;;Roberto Costa;;
MOV-20260178;2026-03-20;08:08;SOL-ELT-25;Eletrodo 6013 2.5mm;saida;Consumo interno;129;289.95;37403.55;Reforma Comercial SP;;Marcos Andrade;;Material para reposição urgente
MOV-20260179;2026-03-23;13:40;PNT-SEL-18;Selador Acrílico 18L;saida;Venda;186;194.76;36225.36;Condomínio Verde Mar;;João Silva;;Verificar prazo de validade
MOV-20260180;2026-02-10;12:27;SOL-ELT-25;Eletrodo 6013 2.5mm;entrada;Compra NF;70;95.47;6682.9;;NF-2026-570357;Lucia Santos;LT-6717;
MOV-20260181;2026-03-11;12:08;MAT-ARE-001;Areia Média Lavada;entrada;Bonificação fornecedor;197;258.86;50995.42;;NF-2026-918155;Marcos Andrade;LT-9010;
MOV-20260182;2026-03-23;16:07;MAT-BRI-001;Brita 1;entrada;Bonificação fornecedor;48;212.86;10217.28;;NF-2026-659210;Fernanda Lima;LT-8108;
MOV-20260183;2026-03-19;11:37;ELE-CON-34;Conduíte Corrugado 3/4;saida;Venda;55;166.14;9137.7;Obra Industrial Jundiaí;;Fernanda Lima;;
MOV-20260184;2026-01-26;11:23;HID-TUB-25;Tubo PVC 25mm;entrada;Bonificação fornecedor;192;56.17;10784.64;;NF-2026-390440;Roberto Costa;LT-7010;Verificar prazo de validade
MOV-20260185;2026-02-27;12:07;MAT-BLC-001;Bloco de Concreto 14x19x39;transferencia;Para filial Sul;125;125.19;15648.75;Obra Residencial Alphaville;;João Silva;;
MOV-20260186;2026-02-07;12:57;FER-FUR-750;Furadeira de Impacto 750W;entrada;Compra NF;137;179.68;24616.16;;NF-2026-512150;João Silva;LT-9950;
MOV-20260187;2026-03-02;15:04;HID-JOE-25;Joelho 90 PVC 25mm;entrada;Bonificação fornecedor;79;186.83;14759.57;;NF-2026-604171;João Silva;LT-8145;
MOV-20260188;2026-03-08;09:20;MAT-TIJ-929;Tijolo Cerâmico 9x19x29;saida;Baixa por avaria;187;230.8;43159.6;Obra Industrial Jundiaí;;João Silva;;Verificar prazo de validade
MOV-20260189;2026-02-14;10:50;EPI-BOT-SEC;Bota de Segurança;saida;Transferência entre obras;113;89.5;10113.5;Depósito Central;;João Silva;;
MOV-20260190;2026-03-19;17:11;MAT-CIM-050;Cimento CP II 50kg;devolucao;Devolução de cliente;64;183.82;11764.48;;NF-2026-405700;Lucia Santos;;
MOV-20260191;2026-03-23;16:17;ELE-FIT-020;Fita Isolante 20m;saida;Baixa por avaria;143;191.16;27335.88;Reforma Comercial SP;;Fernanda Lima;;
MOV-20260192;2026-03-08;09:07;MAT-BRI-001;Brita 1;saida;Baixa por avaria;164;274.77;45062.28;Edifício Central Business;;Roberto Costa;;
MOV-20260193;2026-02-27;15:55;ELE-CAB-25A;Cabo Flexível 2,5mm;saida;Venda;154;147.84;22767.36;Obra Residencial Alphaville;;Ana Pereira;;Material para reposição urgente
MOV-20260194;2026-03-03;11:53;ELE-CON-34;Conduíte Corrugado 3/4;ajuste;Avaria em estoque;185;297.9;55111.5;;;João Silva;;
MOV-20260195;2026-01-13;16:10;ELE-FIT-020;Fita Isolante 20m;ajuste;Inventário;149;93.33;13906.17;;;Roberto Costa;;
MOV-20260196;2026-03-07;16:24;FER-DSC-045;Disco de Corte 4.1/2;entrada;Bonificação fornecedor;118;187.73;22152.14;;NF-2026-499022;Fernanda Lima;LT-8029;
MOV-20260197;2026-02-16;18:19;MAT-POR-6060;Porcelanato 60x60;saida;Venda;168;94.48;15872.64;Reforma Comercial SP;;Lucia Santos;;
MOV-20260198;2026-02-14;12:37;MAT-CAL-020;Cal Hidratada 20kg;saida;Baixa por avaria;169;14.75;2492.75;Reforma Comercial SP;;Roberto Costa;;Conferir com almoxarife
MOV-20260199;2026-02-25;14:00;ELE-FIT-020;Fita Isolante 20m;saida;Venda;191;107.18;20471.38;Condomínio Verde Mar;;Lucia Santos;;
MOV-20260200;2026-02-28;12:17;MAT-REJ-001;Rejunte Flexível Cinza 1kg;entrada;Compra NF;150;92.38;13857.0;;NF-2026-847706;João Silva;LT-9542;
